ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,wals_code,name_glotto,name_wals,level,status,family_id,top_level_family,genus_wals,family_wals,macroarea_wals,latitude_wals,longitude_wals,folder_language_name
28,Quechua_Imbabura_qvi,South America,0.31776,-78.3729,imba1240,qvi,qim,Imbabura Highland Quichua,Quechua (Imbabura),language,vulnerable,quec1387,Quechuan,Quechuan,Quechuan,South America,0.3333333333,-78,Quechua_Imbabura
29,Imonda_imn,Papunesia,-3.31228,141.171,imon1245,imn,imo,Imonda,Imonda,language,definitely endangered,bord1247,Border,Border,Border,Papunesia,-3.3333333333,141.166666667,Imonda
30,Indonesian_ind,Papunesia,-7.33458,109.716,indo1316,ind,ind,Indonesian,Indonesian,language,safe,aust1307,Austronesian,Malayo-Sumbawan,Austronesian,Papunesia,0,106,Indonesian
31,Greenlandic_West_kal,Eurasia,69.3761,-52.864,kala1399,kal,grw,Kalaallisut,Greenlandic (West),language,vulnerable,eski1264,Eskimo-Aleut,Eskimo,Eskimo-Aleut,Eurasia,64,-51,Greenlandic_West
32,NA,North America,41.8228,-123.315,karo1304,kyh,krk,Karok,Karok,language,critically endangered,,NA,Karok,Karok,North America,41.6666666667,-123,NA
33,Kayardild_gyd,Australia,-17.0695,139.489,kaya1319,gyd,kay,Kayardild,Kayardild,language,critically endangered,tang1340,Tangkic,Tangkic,Tangkic,Australia,-17.05,139.5,Kayardild
34,Kiowa_kio,North America,34.9403,-98.9042,kiow1266,kio,kio,Kiowa,Kiowa,language,critically endangered,kiow1265,Kiowa-Tanoan,Kiowa-Tanoan,Kiowa-Tanoan,North America,37,-99,Kiowa
35,NA,North America,30.4096,-92.709,koas1236,cku,koa,Koasati,Koasati,language,severely endangered,musk1252,Muskogean,Muskogean,Muskogean,North America,34.8333333333,-85.1666666667,NA
36,Korean_kor,Eurasia,37.5,128,kore1280,kor,kor,Korean,Korean,language,safe,kore1284,Koreanic,Korean,Korean,Eurasia,37.5,128,Korean
37,NA,Africa,16.9634,-0.55187,koyr1242,ses,kse,Koyraboro Senni Songhai,Koyraboro Senni,language,safe,song1307,Songhay,Songhay,Songhay,Africa,16,0,NA
38,NA,Africa,10.514,30.003,kron1241,kgo,kro,Krongo,Krongo,language,vulnerable,kadu1256,Kadugli-Krongo,Kadugli,Kadu,Africa,10.5,30,NA
39,Kutenai_kut,North America,48.7892,-115.065,kute1249,kut,kut,Kutenai,Kutenai,language,severely endangered,,NA,Kutenai,Kutenai,North America,49.5,-116,Kutenai
40,NA,North America,46.3699,-103.95,lako1247,lkt,lkt,Lakota,Lakhota,language,definitely endangered,siou1252,Siouan,Core Siouan,Siouan,North America,43.8333333333,-101.833333333,NA
41,Lango_laj,Africa,2.13867,33.0553,lang1324,laj,lan,Lango (Uganda),Lango,language,safe,nilo1247,Nilotic,Nilotic,Eastern Sudanic,Africa,2.1666666667,33,Lango
42,Lavukaleve_lvk,Papunesia,-9.05569,159.119,lavu1241,lvk,lav,Lavukaleve,Lavukaleve,language,definitely endangered,,NA,Lavukaleve,Solomons East Papuan,Papunesia,-9.0833333333,159.2,Lavukaleve
43,NA,Eurasia,41.5157,47.8951,lezg1247,lez,lez,Lezgian,Lezgian,language,vulnerable,nakh1245,Nakh-Daghestanian,Lezgic,Nakh-Daghestanian,Eurasia,41.6666666667,47.8333333333,NA
44,Dani_LowerGrandValley_dni,Papunesia,-4.25684,138.992,lowe1415,dni,dni,Lower Grand Valley Dani,Dani (Lower Grand Valley),language,safe,nucl1709,Nuclear Trans New Guinea,Dani,Trans-New Guinea,Papunesia,-4.3333333333,138.833333333,Dani_LowerGrandValley
45,Luvale_lue,Africa,-13.5382,22.2924,luva1239,lue,luv,Luvale,Luvale,language,safe,atla1278,Atlantic-Congo,Bantoid,Niger-Congo,Africa,-12,22,Luvale
46,Maybrat_ayz,Papunesia,-1.3679,132.591,maib1239,ayz,may,Maybrat-Karon,Maybrat,language,safe,,NA,North-Central Bird's Head,West Papuan,Papunesia,-1.3333333333,132.5,Maybrat
47,Makah_myh,North America,48.3258,-124.616,maka1318,myh,mak,Makah,Makah,language,extinct,waka1280,Wakashan,Southern Wakashan,Wakashan,North America,48.3333333333,-124.666666667,Makah
